Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
ea8d6e32-326d-2ad1-8048-4b839d6b2e33,2025-03-30,,999-45-9433,,,,Chris95,,Koss676,,,,white,nonhispanic,F,Franklin  Massachusetts  US,125 Hayes Loaf Apt 58,Newton,Massachusetts,Middlesex County,25017,02464,42.39490569413839,-71.12952302015019,4842.04,798.11,163391
a6260782-ffe1-ed21-b581-57a3742a8f2f,2012-08-10,,999-99-2809,,,,Eleanor470,Patrick786,Hagenes547,,,,white,nonhispanic,F,Becket  Massachusetts  US,223 Jast Crossroad,Everett,Massachusetts,Middlesex County,25017,02149,42.46634448247418,-71.0331962774937,24881.03,6749.93,34010
ecd20ef2-7198-8f6b-fe7a-c6235edefdcf,1975-03-09,,999-60-7543,S99934747,X31054441X,Mrs.,Melva551,Ilana185,Ernser583,,Reichel38,M,white,nonhispanic,F,Braintree  Massachusetts  US,271 Kessler Way Suite 55,Chicopee,Massachusetts,Hampden County,25013,01022,42.16611223887643,-72.52896277572721,429123.45,315683.63,82648
0841f9b4-c2e1-f8fc-94b0-da29516af8f3,2003-11-20,,999-29-1879,S99919876,X64873346X,Ms.,Jean712,,Mante251,,,,white,nonhispanic,F,Braintree  Massachusetts  US,102 Abernathy Burg,Foxborough,Massachusetts,Norfolk County,25021,02035,42.09428318710677,-71.26175938238124,90258.97,110651.15,165149
84755066-1283-1eda-123e-f504f36f156e,1987-02-15,,999-86-9259,S99953919,X16902800X,Ms.,Vergie176,,Adams676,,,S,white,hispanic,F,Acushnet Center  Massachusetts  US,1069 Thiel Fork Suite 88,Hudson,Massachusetts,Middlesex County,25017,01749,42.39364105243769,-71.5781006478585,17159.70,1289045.73,1951
e960a921-926c-00c8-a4db-57ba4b1d760d,2010-03-24,,999-57-2901,S99923359,,,Roland928,Jc393,Ullrich385,,,,white,nonhispanic,M,Arlington  Massachusetts  US,826 Fritsch Gate Unit 77,North Attleborough,Massachusetts,Bristol County,,00000,41.933544614803004,-71.33006532033785,20560.69,15384.24,78078
805ade5a-7c26-22be-f6a7-53279c5fa8c5,1990-01-03,,999-96-2452,S99963360,X4568296X,Ms.,Antonietta855,Logan497,Feeney44,,,S,white,nonhispanic,F,Lynn  Massachusetts  US,546 Davis Mall Unit 43,Westford,Massachusetts,Middlesex County,,00000,42.5359309611639,-71.46669477421108,38181.26,612787.63,883041
2d8db525-cfc1-6729-8ee9-bfe7ad92f37f,1967-09-27,,999-81-8882,S99991724,X50017333X,Mr.,Douglas31,Felton646,Kris249,,,M,asian,nonhispanic,M,Chongqing  Chongqing Municipality  CN,613 Gleason Trailer,Fall River,Massachusetts,Bristol County,25005,02724,41.61626497264341,-71.04370994558735,10075.98,243672.38,15804
e3953628-11b4-6a09-1b09-0dce7710c1c6,2000-01-25,,999-78-5007,S99927423,X13973599X,Mr.,Hilton264,Phil587,Medhurst46,,,,white,nonhispanic,M,Leominster  Massachusetts  US,246 Durgan Lane,Worcester,Massachusetts,Worcester County,25027,01602,42.28560676456713,-71.80152548640106,44398.85,0.00,122594
88be9139-d726-5910-0783-1235ccab609f,2008-11-13,,999-81-5355,S99950066,,,Deon400,Emory494,Schinner682,,,,black,nonhispanic,M,Boston  Massachusetts  US,247 Boyer Walk Unit 69,Middleborough,Massachusetts,Plymouth County,,00000,41.92035041419419,-70.90281686856173,57511.49,0.00,69214
0578e550-d3f7-351e-4253-3461de29112b,1948-09-11,,999-71-9382,S99942027,X9243329X,Mrs.,Thora330,Marine542,Wiza601,,Kihn564,M,white,nonhispanic,F,Falmouth  Massachusetts  US,192 Boyer Camp,Danvers,Massachusetts,Essex County,25009,01923,42.5461753113726,-70.97319726485588,179898.73,975477.38,23795
49ce8924-c509-00b3-64db-ea66bce3bd08,1998-06-30,,999-66-8784,S99944358,X79004283X,Ms.,Patsy569,,Daugherty69,,,,white,nonhispanic,F,Haverhill  Massachusetts  US,445 Kilback Trailer Suite 76,Lawrence,Massachusetts,Essex County,25009,01843,42.72135777037215,-71.1315049399987,12505.84,1004721.73,4604
9d1a665e-7088-8dcb-f63c-50dbd6b95ee2,2001-08-30,,999-93-3739,S99979036,X17196563X,Mr.,Jackie93,Tad831,Lowe577,,,,asian,nonhispanic,M,Gardner  Massachusetts  US,959 Dach Fork Suite 93,Boston,Massachusetts,Suffolk County,25025,02131,42.30605985928681,-71.00467129866188,39288.48,54584.53,835644
1723b2a3-e53d-e6c4-fc14-1051cd13ea65,1951-12-22,2002-01-05,999-62-3686,S99971875,X19589381X,Mrs.,Marianela210,,Reinger292,,Romaguera67,M,white,nonhispanic,F,Framingham  Massachusetts  US,429 Parker Burg,Brockton,Massachusetts,Plymouth County,25023,02302,42.059903387093215,-70.97758335711985,13185.53,355313.21,1932
